Rk;Squad;Matches_Played;Wins;Draws;Losses;Goals_For;Goals_Against;Goal_Difference;Points;Points/Matches_Played;xG;xGAgainst;xGDifference;xGDifference/90;Passes_Completed;build_up_attacks;PPDA;High_Turnovers;Possession;Passes_per_Possession
1;Arsenal;14;12;1;1;33;11;22;37;2.64;26.2;11.8;+14.3;+1.02;6539;54;11.4;130;57.8;113.1314879
2;Manchester City;14;10;2;2;40;14;26;32;2.29;27.6;11.2;+16.4;+1.17;8891;91;12.6;150;66.1;134.5083207
3;Newcastle Utd;15;8;6;1;29;11;18;30;2.00;24.3;14.3;+9.9;+0.66;5337;26;11.0;151;50.7;105.2662722
4;Tottenham;15;9;2;4;31;21;10;29;1.93;24.1;16.5;+7.6;+0.50;6701;46;14.5;102;50.5;132.6930693
5;Manchester Utd;14;8;2;4;20;20;0;26;1.86;18.8;17.3;+1.5;+0.11;5747;38;14.7;106;52.0;110.5192308
6;Liverpool;14;6;4;4;28;17;11;22;1.57;24.2;19.5;+4.7;+0.34;7528;58;12.3;123;62.1;121.2238325
7;Brighton;14;6;3;5;23;19;4;21;1.50;21.5;15.9;+5.6;+0.40;6145;50;11.7;123;55.4;110.9205776
8;Chelsea;14;6;3;5;17;17;0;21;1.50;15.4;19.3;-3.9;-0.28;6721;39;10.1;126;58.1;115.6798623
9;Fulham;15;5;4;6;24;26;-2;19;1.27;19.6;27.3;-7.6;-0.51;5004;17;15.5;101;45.7;109.4967177
10;Brentford;15;4;7;4;23;25;-2;19;1.27;20.3;20.3;0.0;0.00;4608;13;13.6;111;44.7;103.0872483
11;Crystal Palace;14;5;4;5;15;18;-3;19;1.36;14.0;18.3;-4.3;-0.31;5383;26;15.4;102;47.8;112.6150628
12;Aston Villa;15;5;3;7;16;22;-6;18;1.20;17.7;19.3;-1.6;-0.10;5296;23;12.6;120;47.5;111.4947368
13;Leicester City;15;5;2;8;25;25;0;17;1.13;17.6;22.2;-4.6;-0.31;6667;31;14.0;123;50.5;132.019802
14;Bournemouth;15;4;4;7;18;32;-14;16;1.07;11.6;24.2;-12.6;-0.84;4418;15;18.5;90;38.5;114.7532468
15;Leeds United;14;4;3;7;22;26;-4;15;1.07;20.3;20.2;+0.1;+0.01;5107;11;9.7;132;51.0;100.1372549
16;West Ham;15;4;2;9;12;17;-5;14;0.93;18.6;15.5;+3.1;+0.20;5429;23;18.0;100;45.8;118.5371179
17;Everton;15;3;5;7;11;17;-6;14;0.93;15.4;25.4;-10.0;-0.66;5001;19;16.5;106;44.8;111.6294643
18;Nottingham Forest;15;3;4;8;11;30;-19;13;0.87;15.3;24.1;-8.8;-0.59;4328;16;18.4;98;40.3;107.3945409
19;Southampton;15;3;3;9;13;27;-14;12;0.80;14.7;19.8;-5.1;-0.34;4871;28;14.5;115;44.5;109.4606742
20;Wolves;15;2;4;9;8;24;-16;10;0.67;14.9;19.6;-4.8;-0.32;5767;29;15.0;105;49.5;116.5050505
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
